IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
43.153.80.208,443,443,true,SJC,North America,US,San Jose,176,4.68
45.59.187.24,13284,443,true,SJC,North America,US,San Jose,174,3.90
8.212.41.98,8080,8080,false,SJC,North America,US,San Jose,19,3.28
43.153.103.203,443,443,true,SJC,North America,US,San Jose,177,2.81
13.56.160.12,80,443,true,SJC,North America,US,San Jose,160,2.69
107.172.86.122,20561,443,true,SJC,North America,US,San Jose,188,2.44
54.193.48.13,443,443,true,SJC,North America,US,San Jose,169,2.39
192.210.136.205,15894,443,true,SJC,North America,US,San Jose,188,2.09
158.178.157.123,443,443,true,LAX,North America,US,Los Angeles,270,2.00
50.18.133.190,80,443,true,SJC,North America,US,San Jose,167,1.66
212.224.118.29,443,443,true,FRA,Europe,DE,Frankfurt,249,1.66
174.136.205.29,29149,443,true,SJC,North America,US,San Jose,182,1.17
65.75.192.77,10180,443,true,SJC,North America,US,San Jose,178,0.41
79.72.93.227,443,443,true,FRA,Europe,DE,Frankfurt,334,0.38
52.53.196.76,443,443,true,SJC,North America,US,San Jose,158,0.25
3.101.110.90,80,443,true,SJC,North America,US,San Jose,162,0.21
107.172.103.195,16047,0,true,SJC,North America,US,San Jose,191,0.08
3.101.133.120,80,443,true,SJC,North America,US,San Jose,167,0.08
107.172.103.195,16034,443,true,SJC,North America,US,San Jose,191,0.07
107.172.103.195,16074,0,true,SJC,North America,US,San Jose,191,0.07
107.172.103.195,16009,443,true,SJC,North America,US,San Jose,188,0.07
13.56.139.126,80,443,true,SJC,North America,US,San Jose,159,0.06
107.172.103.195,16082,443,true,SJC,North America,US,San Jose,187,0.06
107.172.103.195,16005,443,true,SJC,North America,US,San Jose,189,0.06
107.172.103.195,16020,0,true,SJC,North America,US,San Jose,194,0.06
107.172.103.195,16011,443,true,SJC,North America,US,San Jose,191,0.06
107.172.103.195,16021,443,true,SJC,North America,US,San Jose,194,0.06
107.172.103.195,16017,443,true,SJC,North America,US,San Jose,193,0.05
107.172.103.195,16036,443,true,SJC,North America,US,San Jose,193,0.05
107.172.103.195,16037,443,true,SJC,North America,US,San Jose,190,0.04
107.172.103.195,16043,0,true,SJC,North America,US,San Jose,185,0.04
107.172.103.195,16028,443,true,SJC,North America,US,San Jose,187,0.04
107.172.103.195,16049,443,true,SJC,North America,US,San Jose,189,0.00
107.172.103.195,16053,443,true,SJC,North America,US,San Jose,191,0.00
107.172.103.195,16030,443,true,SJC,North America,US,San Jose,189,0.00
107.172.103.195,16003,443,true,SJC,North America,US,San Jose,190,0.00
107.172.103.195,16066,443,true,SJC,North America,US,San Jose,195,0.00
107.172.103.195,16092,443,true,SJC,North America,US,San Jose,188,0.00
107.172.103.195,16077,443,true,SJC,North America,US,San Jose,190,0.00
107.172.103.195,16048,443,true,SJC,North America,US,San Jose,185,0.00
107.172.103.195,16046,443,true,SJC,North America,US,San Jose,186,0.00
107.172.103.195,16060,443,true,SJC,North America,US,San Jose,189,0.00
107.172.103.195,16091,443,true,SJC,North America,US,San Jose,192,0.00
107.172.103.195,16025,443,true,SJC,North America,US,San Jose,194,0.00
107.172.103.195,16010,443,true,SJC,North America,US,San Jose,187,0.00
107.172.103.195,16089,443,true,SJC,North America,US,San Jose,190,0.00
65.75.192.67,42930,443,true,SJC,North America,US,San Jose,183,0.00
